,Report Time,Time,Home Team,Away Team,Home Max,Away Max,Margin,Max Home Operator,Max Away Operator
1,2020-01-30 23:48,02:00,Washington Wizards,Charlotte Hornets,1.6,2.51,-2.340637450199207,Cbet HW,TOPsport AW
2,2020-01-30 23:48,02:30,Atlanta Hawks,Philadelphia 76ers,3.38,1.37,-2.57849954649505,TOPsport HW,Cbet AW
3,2020-01-30 23:48,03:00,Boston Celtics,Golden State Warriors,1.11,8.94,-1.2757724167120053,TOPsport HW,Optibet AW
4,2020-01-30 23:48,05:30,Los Angeles Clippers,Sacramento Kings,1.1,9.19,-1.7904837273716459,TOPsport HW,Optibet AW
5,2020-01-30 23:48,05:30,Denver Nuggets,Utah Jazz,1.9,2.06,-1.1752682677567683,Cbet HW,TOPsport AW
0,2020-01-30 23:56,02:00,Cleveland Cavaliers,Toronto Raptors,5.4,1.22,-0.4857316332726125,Unibet HW,TOPsport AW
1,2020-01-30 23:56,02:00,Washington Wizards,Charlotte Hornets,1.6,2.51,-2.340637450199207,Cbet HW,TOPsport AW
2,2020-01-30 23:56,02:30,Atlanta Hawks,Philadelphia 76ers,3.38,1.4,-1.0143702451394732,TOPsport HW,Unibet AW
3,2020-01-30 23:56,03:00,Boston Celtics,Golden State Warriors,1.11,8.94,-1.2757724167120053,TOPsport HW,Optibet AW
4,2020-01-30 23:56,05:30,Los Angeles Clippers,Sacramento Kings,1.1,9.19,-1.7904837273716459,TOPsport HW,Optibet AW
5,2020-01-30 23:56,05:30,Denver Nuggets,Utah Jazz,1.9,2.06,-1.1752682677567683,Cbet HW,TOPsport AW
0,2020-01-31 00:08,02:00,Cleveland Cavaliers,Toronto Raptors,5.4,1.22,-0.4857316332726125,Unibet HW,TOPsport AW
1,2020-01-31 00:08,02:00,Washington Wizards,Charlotte Hornets,1.6,2.51,-2.340637450199207,Cbet HW,TOPsport AW
2,2020-01-31 00:08,02:30,Atlanta Hawks,Philadelphia 76ers,3.38,1.4,-1.0143702451394732,TOPsport HW,Unibet AW
3,2020-01-31 00:08,03:00,Boston Celtics,Golden State Warriors,1.11,8.94,-1.2757724167120053,TOPsport HW,Optibet AW
4,2020-01-31 00:08,05:30,Los Angeles Clippers,Sacramento Kings,1.1,9.19,-1.7904837273716459,TOPsport HW,Optibet AW
5,2020-01-31 00:08,05:30,Denver Nuggets,Utah Jazz,1.9,2.06,-1.1752682677567683,Cbet HW,TOPsport AW
0,2020-01-31 00:24,02:00,Cleveland Cavaliers,Toronto Raptors,5.4,1.22,-0.4857316332726125,Unibet HW,TOPsport AW
1,2020-01-31 00:24,02:00,Washington Wizards,Charlotte Hornets,1.6,2.51,-2.340637450199207,Cbet HW,TOPsport AW
2,2020-01-31 00:24,02:30,Atlanta Hawks,Philadelphia 76ers,3.38,1.4,-1.0143702451394732,TOPsport HW,Unibet AW
3,2020-01-31 00:24,03:00,Boston Celtics,Golden State Warriors,1.11,8.98,-1.2259475511145785,TOPsport HW,Optibet AW
4,2020-01-31 00:24,05:30,Los Angeles Clippers,Sacramento Kings,1.1,9.24,-1.7316017316017285,TOPsport HW,Optibet AW
5,2020-01-31 00:24,05:30,Denver Nuggets,Utah Jazz,1.9,2.06,-1.1752682677567683,Cbet HW,TOPsport AW
0,2020-01-31 00:40,02:00,Cleveland Cavaliers,Toronto Raptors,5.4,1.22,-0.4857316332726125,Unibet HW,TOPsport AW
1,2020-01-31 00:40,02:00,Washington Wizards,Charlotte Hornets,1.62,2.51,-1.5690325119275983,Unibet HW,TOPsport AW
2,2020-01-31 00:40,02:30,Atlanta Hawks,Philadelphia 76ers,3.38,1.4,-1.0143702451394732,TOPsport HW,Unibet AW
3,2020-01-31 00:40,03:00,Boston Celtics,Golden State Warriors,1.11,8.98,-1.2259475511145785,TOPsport HW,Optibet AW
4,2020-01-31 00:40,05:30,Los Angeles Clippers,Sacramento Kings,1.1,9.24,-1.7316017316017285,TOPsport HW,Optibet AW
5,2020-01-31 00:40,05:30,Denver Nuggets,Utah Jazz,2.05,2.06,2.675822874733602,Cbet HW,TOPsport AW
0,2020-01-31 00:48,02:00,Cleveland Cavaliers,Toronto Raptors,5.4,1.22,-0.4857316332726125,Unibet HW,TOPsport AW
1,2020-01-31 00:48,02:00,Washington Wizards,Charlotte Hornets,1.62,2.51,-1.5690325119275983,Unibet HW,TOPsport AW
2,2020-01-31 00:48,02:30,Atlanta Hawks,Philadelphia 76ers,3.38,1.4,-1.0143702451394732,TOPsport HW,Unibet AW
3,2020-01-31 00:48,03:00,Boston Celtics,Golden State Warriors,1.11,9.34,-0.7967282057217723,TOPsport HW,Optibet AW
4,2020-01-31 00:48,05:30,Los Angeles Clippers,Sacramento Kings,1.1,9.19,-1.7904837273716459,TOPsport HW,Optibet AW
0,2020-01-31 00:56,02:00,Cleveland Cavaliers,Toronto Raptors,5.4,1.22,-0.4857316332726125,Unibet HW,TOPsport AW
1,2020-01-31 00:56,02:00,Washington Wizards,Charlotte Hornets,1.62,2.51,-1.5690325119275983,Unibet HW,TOPsport AW
2,2020-01-31 00:56,02:30,Atlanta Hawks,Philadelphia 76ers,3.38,1.4,-1.0143702451394732,TOPsport HW,Unibet AW
3,2020-01-31 00:56,03:00,Boston Celtics,Golden State Warriors,1.11,9.29,-0.8543527380986932,TOPsport HW,Optibet AW
4,2020-01-31 00:56,05:30,Los Angeles Clippers,Sacramento Kings,1.1,9.14,-1.8500099462900308,TOPsport HW,Optibet AW
0,2020-01-31 01:00,02:00,Cleveland Cavaliers,Toronto Raptors,5.4,1.22,-0.4857316332726125,Unibet HW,TOPsport AW
1,2020-01-31 01:00,02:00,Washington Wizards,Charlotte Hornets,1.62,2.51,-1.5690325119275983,Unibet HW,TOPsport AW
2,2020-01-31 01:00,02:30,Atlanta Hawks,Philadelphia 76ers,3.38,1.4,-1.0143702451394732,TOPsport HW,Unibet AW
3,2020-01-31 01:00,03:00,Boston Celtics,Golden State Warriors,1.11,9.29,-0.8543527380986932,TOPsport HW,Optibet AW
4,2020-01-31 01:00,05:30,Los Angeles Clippers,Sacramento Kings,1.1,9.14,-1.8500099462900308,TOPsport HW,Optibet AW
0,2020-01-31 01:08,02:00,Cleveland Cavaliers,Toronto Raptors,5.4,1.22,-0.4857316332726125,Unibet HW,TOPsport AW
1,2020-01-31 01:08,02:00,Washington Wizards,Charlotte Hornets,1.62,2.51,-1.5690325119275983,Unibet HW,TOPsport AW
2,2020-01-31 01:08,02:30,Atlanta Hawks,Philadelphia 76ers,3.38,1.4,-1.0143702451394732,TOPsport HW,Unibet AW
3,2020-01-31 01:08,03:00,Boston Celtics,Golden State Warriors,1.11,9.29,-0.8543527380986932,TOPsport HW,Optibet AW
4,2020-01-31 01:08,05:30,Los Angeles Clippers,Sacramento Kings,1.1,9.14,-1.8500099462900308,TOPsport HW,Optibet AW
0,2020-01-31 01:16,02:00,Cleveland Cavaliers,Toronto Raptors,5.4,1.22,-0.4857316332726125,Unibet HW,TOPsport AW
1,2020-01-31 01:16,02:00,Washington Wizards,Charlotte Hornets,1.62,2.51,-1.5690325119275983,Unibet HW,TOPsport AW
2,2020-01-31 01:16,02:30,Atlanta Hawks,Philadelphia 76ers,3.38,1.4,-1.0143702451394732,TOPsport HW,Unibet AW
3,2020-01-31 01:16,03:00,Boston Celtics,Golden State Warriors,1.11,9.29,-0.8543527380986932,TOPsport HW,Optibet AW
4,2020-01-31 01:16,05:30,Los Angeles Clippers,Sacramento Kings,1.1,9.14,-1.8500099462900308,TOPsport HW,Optibet AW
0,2020-01-31 01:24,02:00,Cleveland Cavaliers,Toronto Raptors,5.4,1.22,-0.4857316332726125,Unibet HW,TOPsport AW
1,2020-01-31 01:24,02:00,Washington Wizards,Charlotte Hornets,1.62,2.51,-1.5690325119275983,Unibet HW,TOPsport AW
2,2020-01-31 01:24,02:30,Atlanta Hawks,Philadelphia 76ers,3.38,1.4,-1.0143702451394732,TOPsport HW,Unibet AW
3,2020-01-31 01:24,03:00,Boston Celtics,Golden State Warriors,1.11,9.34,-0.7967282057217723,TOPsport HW,Optibet AW
4,2020-01-31 01:24,05:30,Los Angeles Clippers,Sacramento Kings,1.1,9.14,-1.8500099462900308,TOPsport HW,Optibet AW
0,2020-01-31 01:32,02:00,Cleveland Cavaliers,Toronto Raptors,5.4,1.22,-0.4857316332726125,Unibet HW,TOPsport AW
